,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,1153.651,1166.537,1144.339,1153.894,C8888.XDCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0351158771949589,,,,,,0.5,1,0.0351158771949589,0.0351158771949589,0.0351158771949589
1,1,2005-02-28,1156.084,1204.901,1145.704,1194.414,C8888.XDCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.0927927837416509,0.0351158771949589,,,,,0.03786824,1,0.0927927837416509,0.1279086609366098,0.1279086609366098
2,2,2005-03-31,1194.009,1325.714,1174.178,1305.247,C8888.XDCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.009252654861493625,0.0927927837416509,0.0351158771949589,,,,0.09282514,1,-0.009252654861493625,0.11865600607511617,0.11865600607511617
3,3,2005-04-29,1303.129,1323.195,1282.535,1293.17,C8888.XDCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.014769133215277286,-0.009252654861493625,0.0927927837416509,0.0351158771949589,,,0.09231222,1,-0.014769133215277286,0.10388687285983889,0.10388687285983889
4,4,2005-05-31,1293.205,1295.827,1253.405,1274.071,C8888.XDCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,0.006822225762928458,-0.014769133215277286,-0.009252654861493625,0.0927927837416509,0.0351158771949589,,-0.01305573,0,0.0,0.10388687285983889,0.11070909862276734
5,5,2005-06-30,1272.583,1295.86,1262.776,1282.763,C8888.XDCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.027224826409866787,0.006822225762928458,-0.014769133215277286,-0.009252654861493625,0.0927927837416509,0.0351158771949589,0.0070525007,0,-0.0,0.10388687285983889,0.08348427221290056
6,6,2005-07-29,1280.579,1308.731,1233.411,1247.84,C8888.XDCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,-0.020269425567380317,-0.027224826409866787,0.006822225762928458,-0.014769133215277286,-0.009252654861493625,0.0927927837416509,0.0014960289,0,-0.0,0.10388687285983889,0.06321484664552024
7,7,2005-08-31,1244.746,1248.552,1207.519,1222.547,C8888.XDCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,0.02558183857144125,-0.020269425567380317,-0.027224826409866787,0.006822225762928458,-0.014769133215277286,-0.009252654861493625,-0.025674295,-1,-0.02558183857144125,0.07830503428839763,0.08879668521696149
8,8,2005-09-30,1219.155,1266.143,1218.588,1253.822,C8888.XDCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,0.003477367600823733,0.02558183857144125,-0.020269425567380317,-0.027224826409866787,0.006822225762928458,-0.014769133215277286,-0.025607772,-1,-0.003477367600823733,0.0748276666875739,0.09227405281778522
9,9,2005-10-31,1252.812,1290.857,1252.048,1258.182,C8888.XDCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,0.0019043349849225955,0.003477367600823733,0.02558183857144125,-0.020269425567380317,-0.027224826409866787,0.006822225762928458,0.0037013784,0,0.0,0.0748276666875739,0.09417838780270782
10,10,2005-11-30,1260.065,1284.758,1244.62,1260.578,C8888.XDCE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.061472594317844687,0.0019043349849225955,0.003477367600823733,0.02558183857144125,-0.020269425567380317,-0.027224826409866787,0.0020919992,0,0.0,0.0748276666875739,0.1556509821205525
