,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,2173.139,2217.998,2090.311,2094.095,M8888.XDCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.15694464673283703,,,,,,0.5,1,0.15694464673283703,0.15694464673283703,0.15694464673283703
1,1,2005-02-28,2101.507,2422.752,2078.057,2422.752,M8888.XDCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.12837756402636336,0.15694464673283703,,,,,0.15897572,1,0.12837756402636336,0.2853222107592004,0.2853222107592004
2,2,2005-03-31,2460.801,2911.17,2442.976,2733.779,M8888.XDCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.05712897787275417,0.12837756402636336,0.15694464673283703,,,,0.13034979,1,-0.05712897787275417,0.22819323288644622,0.22819323288644622
3,3,2005-04-29,2616.429,2683.188,2529.357,2577.601,M8888.XDCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.056665092851841736,-0.05712897787275417,0.12837756402636336,0.15694464673283703,,,-0.05358167,-1,-0.056665092851841736,0.17152814003460448,0.28485832573828795
4,4,2005-05-31,2613.512,2764.92,2464.333,2723.661,M8888.XDCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,-0.030128565926523132,0.056665092851841736,-0.05712897787275417,0.12837756402636336,0.15694464673283703,,0.06082168,1,-0.030128565926523132,0.14139957410808135,0.2547297598117648
5,5,2005-06-30,2717.421,2866.41,2625.438,2641.601,M8888.XDCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.0252990515978756,-0.030128565926523132,0.056665092851841736,-0.05712897787275417,0.12837756402636336,0.15694464673283703,0.056752473,1,-0.0252990515978756,0.11610052251020575,0.22943070821388922
6,6,2005-07-29,2643.171,2746.763,2546.701,2574.771,M8888.XDCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,-0.029442230008028036,-0.0252990515978756,-0.030128565926523132,0.056665092851841736,-0.05712897787275417,0.12837756402636336,-0.02853903,-1,0.029442230008028036,0.1455427525182338,0.1999884782058612
7,7,2005-08-31,2563.645,2578.984,2416.522,2498.964,M8888.XDCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,-0.04128110689069542,-0.029442230008028036,-0.0252990515978756,-0.030128565926523132,0.056665092851841736,-0.05712897787275417,-0.025361791,-1,0.04128110689069542,0.1868238594089292,0.15870737131516577
8,8,2005-09-30,2468.714,2570.409,2388.958,2395.804,M8888.XDCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,-0.014173112658631526,-0.04128110689069542,-0.029442230008028036,-0.0252990515978756,-0.030128565926523132,0.056665092851841736,-0.025135597,-1,0.014173112658631526,0.20099697206756073,0.14453425865653424
9,9,2005-10-31,2401.253,2491.711,2325.889,2361.848,M8888.XDCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,-0.0837014066950964,-0.014173112658631526,-0.04128110689069542,-0.029442230008028036,-0.0252990515978756,-0.030128565926523132,-0.039656952,-1,0.0837014066950964,0.28469837876265713,0.06083285196143784
10,10,2005-11-30,2366.052,2418.761,2119.716,2164.158,M8888.XDCE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.07535494173715596,-0.0837014066950964,-0.014173112658631526,-0.04128110689069542,-0.029442230008028036,-0.0252990515978756,-0.026467297,-1,-0.07535494173715596,0.20934343702550118,0.1361877936985938
11,11,2005-12-30,2163.7,2425.512,2141.892,2327.238,M8888.XDCE,True,2005,12,52,-156,-156,2005-11,27.8,38.0,,,,,,,8.5,5.0,14.7,-2.4,21.6,11.4,3.2,5.1,2005.0,11.0,0.000690518116325034,0.07535494173715596,-0.0837014066950964,-0.014173112658631526,-0.04128110689069542,-0.029442230008028036,-0.06949177,-1,-0.000690518116325034,0.20865291890917614,0.13687831181491883
