,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,2568.502,2599.843,2485.851,2491.903,B8888.XDCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.09369225046079244,,,,,,0.5,1,0.09369225046079244,0.09369225046079244,0.09369225046079244
1,1,2005-02-28,2503.988,2725.375,2469.547,2725.375,B8888.XDCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.12214465899188176,0.09369225046079244,,,,,0.09609781,1,0.12214465899188176,0.2158369094526742,0.2158369094526742
2,2,2005-03-31,2722.857,3156.892,2713.589,3058.265,B8888.XDCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.01067762276977302,0.12214465899188176,0.09369225046079244,,,,0.12193368,1,-0.01067762276977302,0.20515928668290118,0.20515928668290118
3,3,2005-04-29,2998.879,3055.051,2926.647,3025.61,B8888.XDCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.010151341382398815,-0.01067762276977302,0.12214465899188176,0.09369225046079244,,,0.12166769,1,0.010151341382398815,0.2153106280653,0.2153106280653
4,4,2005-05-31,3010.441,3101.123,2924.043,3056.324,B8888.XDCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,-0.07859212570395024,0.010151341382398815,-0.01067762276977302,0.12214465899188176,0.09369225046079244,,0.010610079,0,-0.0,0.2153106280653,0.13671850236134975
5,5,2005-06-30,3051.007,3116.878,2815.61,2816.121,B8888.XDCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.013777461976953398,-0.07859212570395024,0.010151341382398815,-0.01067762276977302,0.12214465899188176,0.09369225046079244,-0.07551957,-1,0.013777461976953398,0.2290880900422534,0.12294104038439635
6,6,2005-07-29,2810.319,2939.295,2727.766,2777.322,B8888.XDCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,-0.055728143873846836,-0.013777461976953398,-0.07859212570395024,0.010151341382398815,-0.01067762276977302,0.12214465899188176,-0.075666405,-1,0.055728143873846836,0.2848162339161002,0.06721289651054951
7,7,2005-08-31,2790.857,2791.555,2507.846,2622.547,B8888.XDCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005.0,7.0,-0.004784280319857004,-0.055728143873846836,-0.013777461976953398,-0.07859212570395024,0.010151341382398815,-0.01067762276977302,-0.055266205,-1,0.004784280319857004,0.28960051423595723,0.06242861619069251
8,8,2005-09-30,2641.44,2820.821,2521.447,2610.0,B8888.XDCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005.0,8.0,0.05612873563218401,-0.004784280319857004,-0.055728143873846836,-0.013777461976953398,-0.07859212570395024,0.010151341382398815,-0.052580006,-1,-0.05612873563218401,0.23347177860377322,0.11855735182287652
9,9,2005-10-31,2609.0,2859.329,2609.0,2756.496,B8888.XDCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005.0,9.0,-0.07814449939343293,0.05612873563218401,-0.004784280319857004,-0.055728143873846836,-0.013777461976953398,-0.07859212570395024,-0.024829363,-1,0.07814449939343293,0.31161627799720615,0.04041285242944359
10,10,2005-11-30,2756.664,2842.268,2510.093,2541.091,B8888.XDCE,True,2005,11,48,-157,-157,2005-10,27.6,37.1,,,,,,,14.4,4.5,16.5,-2.2,13.2,10.4,4.0,5.3,2005.0,10.0,0.05664023838579557,-0.07814449939343293,0.05612873563218401,-0.004784280319857004,-0.055728143873846836,-0.013777461976953398,0.00085971213,0,0.0,0.31161627799720615,0.09705309081523916
11,11,2005-12-30,2532.367,2773.769,2527.494,2685.019,B8888.XDCE,True,2005,12,52,-156,-156,2005-11,27.8,38.0,,,,,,,8.5,5.0,14.7,-2.4,21.6,11.4,3.2,5.1,2005.0,11.0,-0.03647795415972843,0.05664023838579557,-0.07814449939343293,0.05612873563218401,-0.004784280319857004,-0.055728143873846836,-0.07578844,-1,0.03647795415972843,0.3480942321569346,0.06057513665551073
12,12,2006-01-27,2729.579,2787.417,2548.018,2587.075,B8888.XDCE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.002779200448382646,-0.03647795415972843,0.05664023838579557,-0.07814449939343293,0.05612873563218401,-0.004784280319857004,-0.004557684,0,-0.0,0.3480942321569346,0.057795936207128085
13,13,2006-02-28,2637.825,2684.475,2533.29,2579.885,B8888.XDCE,True,2006,2,9,-154,-154,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,0.009659345280894183,-0.002779200448382646,-0.03647795415972843,0.05664023838579557,-0.07814449939343293,0.05612873563218401,0.056054603,1,0.009659345280894183,0.35775357743782876,0.06745528148802227
14,14,2006-03-31,2583.444,2655.47,2549.971,2604.805,B8888.XDCE,True,2006,3,13,-153,-153,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,-0.030912486731252353,0.009659345280894183,-0.002779200448382646,-0.03647795415972843,0.05664023838579557,-0.07814449939343293,-0.04205722,-1,0.030912486731252353,0.3886660641690811,0.036542794756769914
15,15,2006-04-28,2554.157,2574.808,2469.824,2524.284,B8888.XDCE,True,2006,4,17,-152,-152,2006-03,29.8,36.3,21.5,22.0,23.9,21.7,25.7,24.9,-12.2,-4.2,13.6,21.8,29.5,36.3,2.49,2.9,2006.0,3.0,0.0053207166863951105,-0.030912486731252353,0.009659345280894183,-0.002779200448382646,-0.03647795415972843,0.05664023838579557,0.0097430805,0,0.0,0.3886660641690811,0.041863511443165025
16,16,2006-05-31,2551.332,2595.377,2510.177,2537.715,B8888.XDCE,True,2006,5,22,-151,-151,2006-04,29.6,37.6,17.9,16.4,20.6,20.2,21.4,24.1,-2.8,-3.4,12.7,13.0,21.4,31.8,1.87,2.6,2006.0,4.0,-0.012277974477039488,0.0053207166863951105,-0.030912486731252353,0.009659345280894183,-0.002779200448382646,-0.03647795415972843,-0.030127294,-1,0.012277974477039488,0.4009440386461206,0.029585536966125536
17,17,2006-06-30,2519.702,2598.472,2480.733,2506.557,B8888.XDCE,True,2006,6,26,-150,-150,2006-05,30.3,37.1,18.6,18.2,21.5,20.8,23.2,23.8,-1.6,-3.7,12.2,10.1,28.4,30.6,2.43,2.6,2006.0,5.0,-0.015447085384453496,-0.012277974477039488,0.0053207166863951105,-0.030912486731252353,0.009659345280894183,-0.002779200448382646,-0.0024865512,0,-0.0,0.4009440386461206,0.01413845158167204
18,18,2006-07-31,2528.449,2538.416,2426.273,2467.838,B8888.XDCE,True,2006,7,31,-149,-149,2006-06,31.3,38.6,19.2,24.5,21.9,21.8,22.3,23.9,20.4,1.3,10.8,7.3,15.4,27.8,3.52,2.7,2006.0,6.0,0.002064560153462125,-0.015447085384453496,-0.012277974477039488,0.0053207166863951105,-0.030912486731252353,0.009659345280894183,0.00534234,0,0.0,0.4009440386461206,0.016203011735134165
19,19,2006-08-31,2468.183,2555.35,2407.162,2472.933,B8888.XDCE,True,2006,8,35,-148,-148,2006-07,30.5,38.1,21.3,24.3,22.2,20.8,21.9,23.7,5.6,2.0,11.6,15.1,10.4,25.3,3.58,2.9,2006.0,7.0,0.020115385253057783,0.002064560153462125,-0.015447085384453496,-0.012277974477039488,0.0053207166863951105,-0.030912486731252353,-0.012012935,0,0.0,0.4009440386461206,0.03631839698819195
20,20,2006-09-29,2500.661,2602.904,2479.896,2522.677,B8888.XDCE,True,2006,9,39,-147,-147,2006-08,29.1,36.0,21.4,22.7,23.7,21.8,20.9,23.7,16.2,4.0,12.3,17.9,13.3,24.1,3.4,2.9,2006.0,8.0,0.052843467475225614,0.020115385253057783,0.002064560153462125,-0.015447085384453496,-0.012277974477039488,0.0053207166863951105,0.019387817,0,0.0,0.4009440386461206,0.08916186446341756
21,21,2006-10-31,2535.258,2697.984,2528.226,2655.984,B8888.XDCE,True,2006,10,44,-146,-146,2006-09,28.2,33.8,21.2,21.4,24.4,22.2,16.4,22.5,16.9,6.3,13.0,16.2,23.2,24.0,3.5,3.0,2006.0,9.0,0.1670427984505931,0.052843467475225614,0.020115385253057783,0.002064560153462125,-0.015447085384453496,-0.012277974477039488,0.050160266,1,0.1670427984505931,0.5679868370967137,0.2562046629140107
22,22,2006-11-30,2662.873,3151.618,2659.222,3099.647,B8888.XDCE,True,2006,11,48,-145,-145,2006-10,26.8,30.5,21.1,19.1,22.4,22.2,16.8,22.1,22.2,8.1,13.8,22.5,35.6,25.1,2.9,3.0,2006.0,10.0,0.03154617283839101,0.1670427984505931,0.052843467475225614,0.020115385253057783,0.002064560153462125,-0.015447085384453496,0.16643937,1,0.03154617283839101,0.5995330099351047,0.2877508357524017
23,23,2006-12-29,3089.0,3211.143,2990.286,3197.429,B8888.XDCE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,0.0052451516515299446,0.03154617283839101,0.1670427984505931,0.052843467475225614,0.020115385253057783,0.002064560153462125,0.031842932,1,0.0052451516515299446,0.6047781615866347,0.2929959874039316
