,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-31,1564.43,1597.043,1530.596,1549.881,WT8888.XZCE,True,2005,1,5,-167,-167,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.0202680076728472,,,,,,0.5,1,0.0202680076728472,0.0202680076728472,0.0202680076728472
1,1,2005-02-28,1547.193,1595.622,1527.403,1581.294,WT8888.XZCE,True,2005,2,9,-166,-166,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,-0.0061455997429953335,0.0202680076728472,,,,,0.023108274,1,-0.0061455997429953335,0.014122407929851866,0.014122407929851866
2,2,2005-03-31,1590.993,1612.025,1533.002,1571.576,WT8888.XZCE,True,2005,3,13,-165,-165,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,-0.03728295672624171,-0.0061455997429953335,0.0202680076728472,,,,0.02022499,1,-0.03728295672624171,-0.023160548796389846,-0.023160548796389846
3,3,2005-04-29,1567.555,1574.308,1499.829,1512.983,WT8888.XZCE,True,2005,4,17,-164,-164,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005,3,0.01235902848875381,-0.03728295672624171,-0.0061455997429953335,0.0202680076728472,,,-0.03494781,-1,-0.01235902848875381,-0.035519577285143655,-0.010801520307636037
4,4,2005-05-31,1514.04,1533.98,1485.45,1531.682,WT8888.XZCE,True,2005,5,22,-163,-163,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005,4,-0.0023020444191418354,0.01235902848875381,-0.03728295672624171,-0.0061455997429953335,0.0202680076728472,,-0.005696972,0,-0.0,-0.035519577285143655,-0.013103564726777872
5,5,2005-06-30,1534.125,1541.921,1513.922,1528.156,WT8888.XZCE,True,2005,6,26,-162,-162,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005,5,-0.015798125322283862,-0.0023020444191418354,0.01235902848875381,-0.03728295672624171,-0.0061455997429953335,0.0202680076728472,-0.03518247,-1,0.015798125322283862,-0.019721451962859793,-0.028901690049061735
6,6,2005-07-29,1535.715,1555.397,1491.504,1504.014,WT8888.XZCE,True,2005,7,30,-161,-161,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005,6,-0.010490593837557238,-0.015798125322283862,-0.0023020444191418354,0.01235902848875381,-0.03728295672624171,-0.0061455997429953335,-0.0023231888,0,-0.0,-0.019721451962859793,-0.03939228388661897
7,7,2005-08-31,1508.979,1520.352,1474.634,1488.236,WT8888.XZCE,True,2005,8,35,-160,-160,2005-07,27.2,35.1,,,,,,,-8.9,-0.7,15.3,16.2,27.8,9.0,5.2,5.6,2005,7,-0.0018861255876084781,-0.010490593837557238,-0.015798125322283862,-0.0023020444191418354,0.01235902848875381,-0.03728295672624171,-0.0023925793,0,-0.0,-0.019721451962859793,-0.04127840947422745
8,8,2005-09-30,1485.21,1501.87,1476.296,1485.429,WT8888.XZCE,True,2005,9,39,-159,-159,2005-08,27.4,35.7,,,,,,,7.9,1.1,14.6,9.1,15.8,9.7,5.3,5.5,2005,8,0.0039773021800435515,-0.0018861255876084781,-0.010490593837557238,-0.015798125322283862,-0.0023020444191418354,0.01235902848875381,-0.0021440347,0,0.0,-0.019721451962859793,-0.0373011072941839
9,9,2005-10-31,1488.146,1502.76,1476.052,1491.337,WT8888.XZCE,True,2005,10,44,-158,-158,2005-09,27.7,36.1,,,,,,,20.1,3.5,14.4,10.7,16.7,10.0,4.5,5.4,2005,9,-0.02407504138903549,0.0039773021800435515,-0.0018861255876084781,-0.010490593837557238,-0.015798125322283862,-0.0023020444191418354,-0.004924014,0,-0.0,-0.019721451962859793,-0.06137614868321939
